city,state,10th,25th,50th,75th,90th,date,region
Thousand Oaks,CA,54695.0,62737.0,71569.0,81743.0,91006.0,"June 26, 2023",West
Torrance,CA,56187.0,64447.0,73521.0,83972.0,93488.0,"June 26, 2023",West
Vallejo,CA,56691.0,65025.0,74180.0,84726.0,94327.0,"June 26, 2023",West
Ventura,CA,54020.0,61962.0,70686.0,80734.0,89883.0,"June 26, 2023",West
Victorville,CA,53474.0,61336.0,69971.0,79918.0,88975.0,"June 26, 2023",West
Visalia,CA,50190.0,57569.0,65674.0,75010.0,83510.0,"June 26, 2023",West
West Covina,CA,56192.0,64453.0,73527.0,83980.0,93497.0,"June 26, 2023",West
Arvada,CO,51213.0,58743.0,67013.0,76539.0,85213.0,"June 26, 2023",West
Aurora,CO,51179.0,58704.0,66969.0,76489.0,85156.0,"June 26, 2023",West
Boulder,CO,51672.0,59269.0,67613.0,77225.0,85976.0,"June 26, 2023",West
Broomfield,CO,51291.0,58832.0,67115.0,76656.0,85342.0,"June 26, 2023",West
Castle Rock,CO,50327.0,57726.0,65854.0,75215.0,83739.0,"June 26, 2023",West
Colorado Springs,CO,50155.0,57529.0,65628.0,74958.0,83452.0,"June 26, 2023",West
Denver,CO,51213.0,58743.0,67013.0,76539.0,85213.0,"June 26, 2023",West
Fort Collins,CO,49424.0,56691.0,64672.0,73866.0,82236.0,"June 26, 2023",West
Grand Junction,CO,51702.0,59303.0,67652.0,77270.0,86026.0,"June 26, 2023",West
Greeley,CO,49533.0,56816.0,64815.0,74029.0,82418.0,"June 26, 2023",West
Jefferson,CO,51304.0,58847.0,67131.0,76675.0,85363.0,"June 26, 2023",West
Loveland,CO,49357.0,56614.0,64584.0,73765.0,82124.0,"June 26, 2023",West
Pueblo,CO,47288.0,54240.0,61876.0,70672.0,78681.0,"June 26, 2023",West
Westminster,CO,51213.0,58743.0,67013.0,76539.0,85213.0,"June 26, 2023",West
Bridgeport,CT,57245.0,65661.0,74906.0,85554.0,95249.0,"June 26, 2023",Northeast
Bristol,CT,54423.0,62425.0,71214.0,81337.0,90554.0,"June 26, 2023",Northeast
Danbury,CT,55943.0,64168.0,73202.0,83608.0,93082.0,"June 26, 2023",Northeast
East Hartford,CT,54564.0,62586.0,71398.0,81547.0,90788.0,"June 26, 2023",Northeast
Fairfield,CT,57245.0,65661.0,74906.0,85554.0,95249.0,"June 26, 2023",Northeast
Greenwich,CT,57989.0,66514.0,75879.0,86666.0,96486.0,"June 26, 2023",Northeast
Hamden,CT,54609.0,62638.0,71457.0,81615.0,90864.0,"June 26, 2023",Northeast
Hartford,CT,54564.0,62586.0,71398.0,81547.0,90788.0,"June 26, 2023",Northeast
Manchester,CT,54564.0,62586.0,71398.0,81547.0,90788.0,"June 26, 2023",Northeast
Meriden,CT,54423.0,62425.0,71214.0,81337.0,90554.0,"June 26, 2023",Northeast
Milford,CT,57245.0,65661.0,74906.0,85554.0,95249.0,"June 26, 2023",Northeast
New Britain,CT,54423.0,62425.0,71214.0,81337.0,90554.0,"June 26, 2023",Northeast
New Haven,CT,54609.0,62638.0,71457.0,81615.0,90864.0,"June 26, 2023",Northeast
New London,CT,53702.0,61598.0,70270.0,80260.0,89355.0,"June 26, 2023",Northeast
Norwalk,CT,57989.0,66514.0,75879.0,86666.0,96486.0,"June 26, 2023",Northeast
Norwich,CT,53833.0,61748.0,70442.0,80455.0,89573.0,"June 26, 2023",Northeast
Stamford,CT,57989.0,66514.0,75879.0,86666.0,96486.0,"June 26, 2023",Northeast
Stratford,CT,57245.0,65661.0,74906.0,85554.0,95249.0,"June 26, 2023",Northeast
Waterbury,CT,54323.0,62309.0,71082.0,81187.0,90387.0,"June 26, 2023",Northeast
West Hartford,CT,54564.0,62586.0,71398.0,81547.0,90788.0,"June 26, 2023",Northeast
West Haven,CT,54609.0,62638.0,71457.0,81615.0,90864.0,"June 26, 2023",Northeast
Washington,DC,56096.0,64343.0,73402.0,83837.0,93337.0,"June 26, 2023",District of Columbia
Bear,DE,52851.0,60621.0,69156.0,78987.0,87938.0,"June 26, 2023",Northeast
Delaware City,DE,52871.0,60644.0,69182.0,79017.0,87971.0,"June 26, 2023",Northeast
Dover,DE,53053.0,60853.0,69420.0,79289.0,88274.0,"June 26, 2023",Northeast
Harrington,DE,53319.0,61159.0,69769.0,79687.0,88717.0,"June 26, 2023",Northeast
Lewes,DE,53319.0,61159.0,69769.0,79687.0,88717.0,"June 26, 2023",Northeast
Middletown,DE,52878.0,60653.0,69192.0,79028.0,87984.0,"June 26, 2023",Northeast
Milford,DE,53319.0,61159.0,69769.0,79687.0,88717.0,"June 26, 2023",Northeast
New Castle,DE,52911.0,60690.0,69235.0,79077.0,88038.0,"June 26, 2023",Northeast
Newark,DE,52871.0,60644.0,69182.0,79017.0,87971.0,"June 26, 2023",Northeast
Rehoboth Beach,DE,53522.0,61392.0,70035.0,79991.0,89055.0,"June 26, 2023",Northeast
