city,state,10th,25th,50th,75th,90th,date
Smyrna,DE,52933,60716,69264,79110,88075,"June 26, 2023"
Wilmington,DE,52911,60690,69235,79077,88038,"June 26, 2023"
Boca Raton,FL,49597,56889,64899,74125,82524,"June 26, 2023"
Bradenton,FL,47611,54611,62300,71156,79219,"June 26, 2023"
Brandon,FL,47963,55014,62760,71682,79804,"June 26, 2023"
Cape Coral,FL,47161,54094,61710,70483,78470,"June 26, 2023"
Clearwater,FL,47766,54788,62502,71387,79477,"June 26, 2023"
Coconut Creek,FL,48935,56130,64032,73135,81423,"June 26, 2023"
Daytona Beach,FL,45775,52505,59897,68412,76165,"June 26, 2023"
Fort Lauderdale,FL,48935,56130,64032,73135,81423,"June 26, 2023"
Fort Myers,FL,47161,54094,61710,70483,78470,"June 26, 2023"
Gainesville,FL,45851,52593,59997,68526,76291,"June 26, 2023"
Hialeah,FL,48678,55835,63696,72751,80995,"June 26, 2023"
Hollywood,FL,48935,56130,64032,73135,81423,"June 26, 2023"
Jacksonville,FL,47912,54957,62694,71606,79721,"June 26, 2023"
Melbourne,FL,46028,52795,60228,68790,76585,"June 26, 2023"
Miami,FL,48906,56096,63993,73091,81373,"June 26, 2023"
Orlando,FL,47868,54905,62635,71539,79646,"June 26, 2023"
Palm Bay,FL,46028,52795,60228,68790,76585,"June 26, 2023"
Pembroke Pines,FL,48618,55766,63617,72661,80894,"June 26, 2023"
Pensacola,FL,45655,52367,59740,68232,75964,"June 26, 2023"
Port Saint Lucie,FL,47510,54495,62168,71005,79052,"June 26, 2023"
Saint Petersburg,FL,47973,55026,62773,71697,79821,"June 26, 2023"
Sarasota,FL,48124,55199,62971,71923,80073,"June 26, 2023"
Spring Hill,FL,47574,54568,62251,71100,79157,"June 26, 2023"
Tallahassee,FL,45402,52078,59409,67855,75544,"June 26, 2023"
Tampa,FL,47963,55014,62760,71682,79804,"June 26, 2023"
West Palm Beach,FL,49150,56377,64314,73457,81781,"June 26, 2023"
Albany,GA,46321,53131,60611,69228,77073,"June 26, 2023"
Athens,GA,49141,56366,64302,73443,81766,"June 26, 2023"
Atlanta,GA,49494,56771,64764,73970,82353,"June 26, 2023"
Augusta,GA,47156,54090,61705,70477,78463,"June 26, 2023"
Columbus,GA,45830,52568,59969,68494,76255,"June 26, 2023"
Macon,GA,46808,53690,61248,69955,77883,"June 26, 2023"
Marietta,GA,49353,56609,64579,73759,82118,"June 26, 2023"
Roswell,GA,49306,56555,64517,73689,82039,"June 26, 2023"
Savannah,GA,47350,54312,61959,70767,78786,"June 26, 2023"
Valdosta,GA,45100,51731,59014,67403,75041,"June 26, 2023"
Ewa Beach,HI,52553,60280,68767,78542,87443,"June 26, 2023"
Hilo,HI,52201,59875,68305,78015,86856,"June 26, 2023"
